Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
Check on content quality,SCRUM-83,10082,Task,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 10:19 PM,06/Jan/25 11:06 PM,06/Jan/25 11:26 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002v:,,,Sprint 2,,,,,,,,,,,,,,In Progress,06/Jan/25 11:06 PM
Subtask 4.3.4: Test the authentication system for security and usability.,SCRUM-82,10081,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:07 PM,06/Jan/25 11:07 PM,06/Jan/25 10:41 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-37,,,,,,,,,,,,,,,,,,,,,,,0|i0002n:,,,Sprint 4,,,,,,,,,,,,,,To Do,06/Jan/25 11:07 PM
Subtask 4.3.3: Integrate authentication with the discussion forum and comment system.,SCRUM-81,10080,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:07 PM,06/Jan/25 11:07 PM,06/Jan/25 10:42 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-37,,,,,,,,,,,,,,,,,,,,,,,0|i0001h:y,,,Sprint 4,,,,,,,,,,,,,,To Do,06/Jan/25 11:07 PM
"Subtask 4.3.2: Implement user roles (e.g., admin, user) with access control.",SCRUM-80,10079,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:07 PM,06/Jan/25 11:07 PM,06/Jan/25 10:42 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-37,,,,,,,,,,,,,,,,,,,,,,,0|i0001h:x,,,Sprint 4,,,,,,,,,,,,,,To Do,06/Jan/25 11:07 PM
"Subtask 4.3.1: Set up a secure user login system (e.g., email/password, OAuth).",SCRUM-79,10078,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:07 PM,06/Jan/25 11:07 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-37,,,,,,,,,,,,,,,,,,,,,,,0|i0001h:v,,,Sprint 4,,,,,,,,,,,,,,To Do,06/Jan/25 11:07 PM
Subtask 4.2.4: Test the comment functionality for bugs and user experience.,SCRUM-78,10077,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:07 PM,06/Jan/25 11:07 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-36,,,,,,,,,,,,,,,,,,,,,,,0|i0001q:i,,,Sprint 4,,,,,,,,,,,,,,To Do,06/Jan/25 11:07 PM
Subtask 4.2.3: Integrate the comment system into the front end of the platform.,SCRUM-77,10076,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:07 PM,06/Jan/25 11:07 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-36,,,,,,,,,,,,,,,,,,,,,,,0|i0001q:,,,Sprint 4,,,,,,,,,,,,,,To Do,06/Jan/25 11:07 PM
Subtask 4.2.2: Implement the back-end APIs for storing and retrieving comments.,SCRUM-76,10075,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:07 PM,06/Jan/25 11:07 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-36,,,,,,,,,,,,,,,,,,,,,,,0|i0001h:r,,,Sprint 4,,,,,,,,,,,,,,To Do,06/Jan/25 11:07 PM
Subtask 4.2.1: Design the comment input field and interface.,SCRUM-75,10074,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:07 PM,06/Jan/25 11:07 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-36,,,,,,,,,,,,,,,,,,,,,,,0|i0001h:i,,,Sprint 4,,,,,,,,,,,,,,To Do,06/Jan/25 11:07 PM
Subtask 4.1.4: Test the forum for bugs and usability issues.,SCRUM-74,10073,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:06 PM,06/Jan/25 11:07 PM,06/Jan/25 11:15 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-35,,,,,,,,,,,,,,,,,,,,,,,0|i0001i:i,,,Sprint 4,,,,,,,,,,,,,,To Do,06/Jan/25 11:07 PM
